dma_name,dma_id,term,week,score,rank,percent_gain,refresh_date
Macon GA,503,argentina vs peru,2023-11-19,,24,140,2024-11-22
Albany GA,525,argentina vs peru,2021-05-02,,24,140,2024-11-22
Albany GA,525,argentina vs peru,2022-08-07,,24,140,2024-11-22
Albany GA,525,argentina vs peru,2024-05-05,,24,140,2024-11-22
Albany GA,525,argentina vs peru,2024-10-06,,24,140,2024-11-22
Albany GA,525,argentina vs peru,2022-09-18,,24,140,2024-11-22
Albany GA,525,argentina vs peru,2024-06-23,,24,140,2024-11-22
Albany GA,525,argentina vs peru,2022-01-16,,24,140,2024-11-22
Albany GA,525,argentina vs peru,2024-02-11,,24,140,2024-11-22
Albany GA,525,argentina vs peru,2022-05-29,,24,140,2024-11-22
